ciudad,desempleo_2022,desempleo_2023,desempleo_2024
Abancay,3.846999209614605,5.314955959930842,7.014943216033738
Arequipa,5.925050782190416,7.781643482412392,8.02629201610083
Ayacucho,5.624382458432269,7.040108897369834,6.659261872814865
Cajamarca,6.273374366182978,9.784410458985505,11.341826294127076
Cerro de Pasco,5.829535053785874,6.583838083730313,7.900053158505045
Chachapoyas,3.9648033811478487,6.07613718045063,6.245253482713258
Chiclayo,5.481403921650559,8.324216526245621,8.823687994238432
Chimbote,5.5236561174839025,7.229194172610164,7.195023115752687
Cusco,4.82630291012011,8.255594163644275,8.454401404785305
Huancavelica,6.580816104119035,10.718591108544189,11.983722080814898
Huancayo,4.722533365224168,7.925733353038595,8.132358673147374
Huánuco,5.471639653716112,7.7520408983327656,7.488315246167855
Huaraz,3.424922946377878,5.2010164669419225,6.9564407847944665
Ica,3.921715086546692,6.292961527006597,8.032854922309683
Iquitos,4.176229394712113,6.907138212418786,6.999227171234044
Juliaca,,,7.59989802921427
Lima Metrop./Prov. Const. Callao 2/,7.751393646654646,6.78516419991422,6.448111931080962
Moquegua,8.073993494411367,11.765860696028398,10.747629910363234
Moyobamba,2.108302124144703,4.327560232737255,4.317189814048519
Piura,3.718954281085825,7.098832082050251,8.161561459267585
Pucallpa,2.6975753045013686,4.531046206797754,5.834269572388017
Puerto Maldonado,2.7172234936528965,5.00739451271717,6.618214315066154
Puno,5.141831446471537,9.751765476066893,8.30983361016589
Tacna,3.936228635408439,6.7726786758590265,7.383972590978975
Tarapoto,2.5579607474255623,4.578335061450446,4.381105419771085
Trujillo,4.506785081323499,6.496964996725097,4.524843835523807
Tumbes,4.060096642017867,5.772749180326045,6.997548790118191
